_TgvXeXV1Z8	2021-09-03	L	Trailer	
1696	c1	Majesty	c3	Thunderbird	1
1865	c1	Goddess	c3	Insomnia	2
2041	c1	Infinity	c3	Rogue	1
2123	c1	Nightmare	c3	Rogue	2
2217	c1	Beretta	c3	Riveter	2

DhdgHtHn7Ro	2021-10-03	N		
0	c1	Half Pint	c2	Lotus	1

giQQfJUrezA	2021-10-02	L	Trailer	
23	c2	Ultra	c3	Colada	1

gYI-RhTFP40	2021-10-03	L	Trailer	
20	c2	Enchantress	c3	Ivy	2

7gobGDCuCq0	2021-10-02	N		
5414	c2	Nova	c2	Firecracker	2
5544	c2	Thunderbird	c2	Malice	2
6722	c2	Mannequin	c2	Resin	1
6923	c2	Anomaly	c2	Riveter	1
7333	c2	Nightmare	c2	Raven	1
7481	c2	T-Back	c2	Siren	1
10518	c2	Cougar	c2	Heroin	1
10711	c2	Thunderbird	c2	Resin	2
10854	c2	Goddess	c2	Carbon	2
11955	c2	Infinity	c2	Cascade	2
12053	c2	T-Back	c2	Half Pint	1
12312	c2	Enigma	c2	Terror	2
12502	c2	Banshee	c2	Carbon	1
12659	c2	Colada	c2	Calypso	1

KSsAp5MATzo	2021-10-02	N	Tournament|SEA Salt Factory|Top 8	
11	c1	Mannequin	c3	Riveter	2
309	c1	Anomaly	c3	Minx	2
618	c1	Enchantress	c1	Heroin	1
742	c1	Calypso	c1	Rogue	2
912	c1	Wicked	c1	Beretta	1
1171	c2	Geisha	c3	Pumps	1
1364	c2	Lotus	c3	Nova	1
1660	c3	Majesty	c2	Amazon	1
1832	c3	Enchantress	c2	Vixen	2
1990	c3	Enchantress	c2	Goddess	1
2175	c1	Vanity	c2	Legacy	2
2287	c1	Resin	c2	Raven	1
2437	c1	Vixen	c2	Banshee	1
2711	c3	Widow	c1	Infinity	1
2934	c3	Colada	c1	Banshee	1
3142	c1	Wicked	c3	Malice	1
3314	c1	Enigma	c3	Nova	1
3484	c1	Amazon	c3	Lithium	1
3817	c3	Countess	c1	Voodoo	2
3938	c3	Lolita	c1	Cougar	1
4102	c3	Harlem	c1	Belladonna	1
4360	c3	Carbon	c3	Vanity	1
4474	c3	T-Back	c3	Half Pint	1
4765	c3	Terror	c3	Femme Fatale	1
5002	c3	Countess	c1	Banshee	2
5215	c3	Enchantress	c1	Wicked	2
5408	c3	Black Beauty	c1	Vixen	1
5615	c3	Wicked	c1	Minx	1
5792	c3	Stiletto	c1	Firecracker	2

9u7yYfcFiso	2021-10-02	N	Tournament|2BCU	
494	c3	Mannequin	c2	Rogue	1
676	c3	Nova	c1	Heroin	1
768	c3	Rogue	c1	Ivy	1
1027	c3	Enchantress	c1	Mannequin	1
1264	c3	Mirage	c1	Vanity	2
1487	c3	Heroin	c1	Firecracker	1
2016	c2	Half Pint	c3	Lolita	1
2211	c2	Enigma	c3	Nightmare	2
2212	c2	Malice	c3	Calypso	2
2598	c1	Vanity	c1	Raven	2
2694	c1	Countess	c1	Heroin	2
2936	c1	Banshee	c2	Vanity	1
3043	c1	Xenon	c2	Enigma	1
3302	c1	Cosma	c2	Velvet	1
3418	c1	Minx	c2	Lotus	1
3600	c1	Shadow	c2	Heroin	1
3838	c1	Goddess	c2	Belladonna	1
4115	c3	Wicked	c2	Half Pint	1
4220	c3	Mademoiselle	c2	Xenon	1
4514	c1	Riveter	c1	Ultra	1
4665	c1	T-Back	c1	Raven	1
4939	c3	Beretta	c1	Harlem	2
5084	c3	Legacy	c1	Cosma	2
5352	c3	Enchantress	c1	Tequila	2
5558	c3	Calypso	c1	Temperance	2
5874	c2	Countess	c1	Vanity	1
5995	c2	Lotus	c1	Tattoo	1
6324	c3	Heroin	c1	Stiletto	1
6526	c3	Ivy	c1	Geisha	2
6648	c3	Riveter	c1	Voodoo	1
6882	c3	Carbon	c3	Mannequin	2
6995	c3	Vanity	c3	Insomnia	2
7375	c1	Wicked	c3	Vanity	2
7469	c1	Mannequin	c3	Mademoiselle	2
7734	c3	Carbon	c3	Legacy	2
7905	c3	Siren	c3	Roulette	1
8014	c3	Anomaly	c3	Tattoo	1
8310	c3	Mademoiselle	c1	Cosma	2
8490	c3	Siren	c1	Temperance	2
8832	c1	Cascade	c3	Thunderbird	1
8972	c1	Belladonna	c3	Xenon	2
9306	c1	Resin	c3	Voodoo	2
9548	c2	Malice	c1	Colada	2
9760	c2	Infinity	c1	Resin	2
9985	c2	Cougar	c1	Ivy	2
10746	c2	Heroin	c3	Legacy	1
10884	c2	Nova	c3	Nightmare	2
11104	c2	Mademoiselle	c3	Firecracker	2
11289	c2	Majesty	c3	Ivy	2
11691	c1	Heroin	c3	Calypso	1
11881	c1	Enigma	c3	Terror	1
12041	c1	Legacy	c3	Carbon	1

rlXxzT1xRng	2021-10-03	N		
507	c3	Tattoo	c1	Lolita	1
628	c3	Cascade	c1	Cougar	2
756	c3	Mademoiselle	c1	Cougar	2
974	c1	Enchantress	c3	Majesty	1
1208	c1	Tattoo	c3	Geisha	1

uq46Vo0ITdg	2021-10-03	N	Tournament|GibzFGC	
722	c2	Tequila	c2	Belladonna	1
864	c2	Calypso	c2	Riveter	1
1629	c2	Xenon	c1	Shadow	2
1778	c2	Tequila	c1	Firecracker	1
1959	c2	Heroin	c1	Cascade	2
2331	c3	Anomaly	c2	Wicked	1
2442	c3	Mannequin	c2	Tequila	2
2659	c3	Legacy	c2	Temperance	2
2913	c2	Infinity	c1	Tattoo	2
3139	c2	Tattoo	c1	Colada	2
4063	c2	Velvet	c2	Heroin	1
4235	c2	Raven	c2	Cougar	1
4522	c2	Vixen	c2	Xenon	1
4694	c2	Enchantress	c2	Raven	1
4958	c1	Mirage	c3	Widow	2
5112	c1	Goddess	c3	Half Pint	1
5351	c1	Riveter	c3	Belladonna	2
5672	c3	Geisha	c1	Goddess	2
5831	c3	Lotus	c1	Insomnia	1
5988	c3	Amazon	c1	Minx	2
6351	c3	Mademoiselle	c3	Lotus	2
6575	c3	Amazon	c3	Minx	2
6874	c2	Lotus	c1	Banshee	1
7069	c2	Amazon	c1	Harlem	1
7277	c2	Enchantress	c2	Rogue	1
7437	c2	Nightmare	c2	Lotus	2
7554	c2	Terror	c2	Vanity	2
7762	c1	Firecracker	c3	Majesty	1
7953	c1	Riveter	c3	Countess	1
8133	c2	Cougar	c3	Resin	2
8381	c2	Majesty	c3	Roulette	1
8508	c2	Nova	c3	Insomnia	1
8781	c1	Tattoo	c1	Cougar	1
8964	c1	Velvet	c1	Siren	1
9473	c2	Femme Fatale	c3	Countess	1
9615	c2	Ivy	c3	Banshee	2
9821	c2	Roulette	c3	Majesty	1
10034	c2	Ivy	c3	Calypso	1
10288	c2	Insomnia	c1	Vixen	2
10428	c2	Geisha	c1	Thunderbird	2
10628	c3	Riveter	c1	Calypso	2
10839	c3	Insomnia	c1	Enchantress	2
11054	c3	Half Pint	c1	Lithium	1
11269	c3	Thunderbird	c1	Goddess	1
11414	c3	Enigma	c1	Lithium	1
11830	c3	Minx	c2	Lithium	1
12014	c3	Banshee	c2	Cosma	1
12239	c3	Minx	c2	Banshee	1
12454	c3	Femme Fatale	c2	Stiletto	1
12668	c3	Cougar	c2	Resin	1
12818	c3	Lolita	c2	Beretta	2
13031	c3	Pumps	c2	Femme Fatale	1
13246	c3	Vanity	c2	Half Pint	1

HYT3CBopsb8	2021-10-01	N	Tournament|PNW Airdashers	
753	c2	Vanity	c3	Infinity	2
963	c2	Stiletto	c3	Colada	2
1328	c2	Terror	c1	Pumps	1
1474	c2	Voodoo	c1	Vixen	1
3823	c2	Geisha	c3	Cosma	2
4011	c2	Cougar	c3	Tequila	1
4162	c2	Black Beauty	c3	Half Pint	1
4361	c2	Femme Fatale	c2	Cascade	2
4537	c2	Xenon	c2	Calypso	2
4919	c2	Majesty	c2	Minx	2
5025	c2	Terror	c2	Pumps	1
5207	c2	Amazon	c2	Anomaly	2
5499	c2	Wicked	c1	Minx	2
5676	c2	Cosma	c1	Cougar	2
6026	c1	Firecracker	c2	Lithium	2
6173	c1	Wicked	c2	Lithium	1
6318	c1	Heroin	c2	Tequila	1
6543	c2	Siren	c2	Cougar	1
6750	c2	Tequila	c2	Mannequin	1
7041	c2	Lotus	c3	Anomaly	2
7253	c2	Temperance	c3	Cosma	1
7398	c2	Minx	c3	Cascade	2
7764	c2	Calypso	c2	Stiletto	2
7897	c2	Mademoiselle	c2	Enchantress	2
8165	c3	Ivy	c2	Lotus	1
8352	c3	Mademoiselle	c2	Mirage	2
8575	c3	Ivy	c2	Beretta	1
8890	c1	Insomnia	c1	Legacy	2
9064	c1	Black Beauty	c1	Siren	2
9192	c1	Resin	c1	Vixen	1
9310	c1	Terror	c1	Amazon	1
9416	c1	Rogue	c1	Infinity	1
9681	c3	Siren	c2	Harlem	2
9806	c3	Mademoiselle	c2	Lolita	2
9991	c1	Carbon	c2	Cougar	2
10189	c1	Riveter	c2	Tattoo	1
10334	c1	Ultra	c2	Infinity	2
10540	c1	Stiletto	c2	Malice	1
10742	c1	Majesty	c2	Ultra	1
11058	c1	Geisha	c1	Firecracker	1
11215	c1	Beretta	c1	Colada	2
11407	c1	Nightmare	c1	Heroin	1
11588	c1	Velvet	c1	Siren	2
11695	c1	Anomaly	c1	Rogue	2

NyyTXJJBe38	2021-10-05	N		
1	c2	Amazon	c2	Tequila	1

-OUSPvvMZuM	2021-10-05	N		
1	c2	Lolita	c2	Tequila	1

JKNpZLApF6g	2021-10-04	N	Team Spooky	
18	c2	Cascade	c3	Rogue	2
161	c2	Insomnia	c3	Anomaly	1
347	c2	Belladonna	c3	Thunderbird	1
539	c2	Thunderbird	c3	Stiletto	2
675	c2	Amazon	c3	Velvet	2
806	c2	Enigma	c3	Lithium	1
961	c2	Mirage	c3	Infinity	2
1141	c2	Riveter	c3	Harlem	2

RAx1guXH2hs	2021-10-01	L	Tournament|Low Kick Esports	
57	c2	Wicked	c2	Temperance	1
154	c2	Thunderbird	c2	Goddess	1
559	c1	Nightmare	c2	Wicked	1
669	c1	Mirage	c2	Mademoiselle	2
822	c1	Pumps	c2	Banshee	2
1221	c1	Carbon	c3	Velvet	1
1309	c1	Xenon	c3	Lithium	1
1589	c2	Terror	c1	Minx	2
1732	c2	Colada	c1	Vanity	2
2275	c2	Harlem	c2	Voodoo	1
2347	c2	Ivy	c2	Heroin	1
2733	c3	Tattoo	c2	Ivy	2
2829	c2	Geisha	c2	Legacy	2
3170	c3	Xenon	c1	Cosma	2
3273	c3	Heroin	c1	Siren	2
3562	c2	Cascade	c3	Calypso	1
3724	c2	Mademoiselle	c3	Femme Fatale	2
3857	c2	Wicked	c3	Anomaly	1
4114	c3	Widow	c2	Resin	1
4228	c3	Pumps	c2	Insomnia	1
4468	c2	Majesty	c2	Widow	2
4603	c2	Xenon	c2	Amazon	2
4854	c1	Rogue	c1	Wicked	2
5024	c1	Lotus	c1	Rogue	1
5138	c1	Belladonna	c1	Lotus	1
5356	c2	Mademoiselle	c3	Tattoo	1
5453	c2	Terror	c3	Voodoo	1
5770	c2	Geisha	c3	Raven	1
5880	c2	Ivy	c3	Riveter	1
6187	c1	Cougar	c2	Stiletto	2
6355	c1	Enchantress	c2	Temperance	1
6576	c1	Voodoo	c2	Siren	2

XXPAx3HmCUo	2021-10-02	L	Tournament|Lunar Phase	
88	c1	Lithium	c3	Xenon	2
184	c1	Thunderbird	c3	Minx	2
419	c1	Heroin	c3	Tattoo	2
567	c1	Stiletto	c3	Beretta	1
663	c1	Firecracker	c3	Tattoo	1
929	c1	Amazon	c3	Banshee	1
1169	c1	Temperance	c3	Roulette	1
1411	c3	Ultra	c3	Roulette	1
1539	c3	Shadow	c3	T-Back	1
1764	c1	Mannequin	c3	Geisha	2
1879	c1	Anomaly	c3	T-Back	2
2118	c3	Anomaly	c3	Riveter	1
2213	c3	Black Beauty	c3	Siren	1
2511	c3	Rogue	c3	Half Pint	2
2737	c3	Rogue	c3	Mannequin	1
2975	c3	Geisha	c3	Cougar	2

oCTjDzmG2-0	2021-10-02	L	Tournament|Lunar Phase|Top 8	
138	c1	T-Back	c3	Belladonna	1
286	c1	Countess	c3	Vanity	1
563	c3	Thunderbird	c1	Pumps	2
705	c3	Belladonna	c1	Firecracker	1
808	c3	Mannequin	c1	Wicked	1
1105	c3	Goddess	c3	Infinity	2
1261	c3	Pumps	c3	Mannequin	2
1460	c3	Tattoo	c2	Insomnia	1
1556	c3	Nightmare	c2	Velvet	1
1900	c3	Lotus	c3	Cosma	2
2091	c3	Harlem	c3	Vanity	2
2414	c3	Anomaly	c1	Thunderbird	1
2604	c3	Mannequin	c1	Belladonna	1
2923	c3	Xenon	c1	Mademoiselle	2
3026	c3	Ivy	c1	Countess	1
3179	c3	Riveter	c1	Wicked	1
3271	c3	Banshee	c1	Terror	1
3538	c3	Rogue	c3	Carbon	2
3695	c3	Vixen	c3	Terror	1
3872	c3	Black Beauty	c3	Harlem	1
4236	c3	Majesty	c1	Firecracker	2
4430	c3	Amazon	c1	Mannequin	1
4626	c3	Rogue	c1	Legacy	1
4836	c3	Enigma	c1	Anomaly	2
4943	c3	Half Pint	c1	Temperance	1
5273	c3	Nightmare	c3	Roulette	2
5390	c3	Nightmare	c3	Minx	2
5512	c3	Wicked	c3	Cosma	2

9M92RTY7dpw	2021-10-02	L	Tournament|NGI|Top 8	
69	c1	Stiletto	c3	Nova	2
169	c1	Carbon	c3	Vixen	1
270	c1	Lotus	c3	Nova	1
639	c3	Geisha	c3	Vixen	2
843	c3	Amazon	c3	Cosma	2
1343	c3	Terror	c2	Legacy	1
1515	c3	Mademoiselle	c2	Enigma	1
1906	c2	Firecracker	c1	Heroin	1
2037	c2	Tequila	c1	Tattoo	1
2371	c1	Tequila	c2	Siren	2
2518	c1	Ultra	c2	Anomaly	1
2656	c1	Malice	c2	Mademoiselle	2
3000	c1	Minx	c3	T-Back	1
3161	c1	Vixen	c3	Thunderbird	2
3269	c1	Majesty	c3	Stiletto	2
3640	c3	T-Back	c2	Enigma	2
3828	c3	Velvet	c2	Resin	2
3985	c3	Cascade	c2	Goddess	1
4173	c3	Rogue	c2	Malice	2
4591	c2	Firecracker	c3	Cougar	2
4772	c2	Tequila	c3	Rogue	1
4955	c2	Vixen	c3	Insomnia	1
5216	c2	Amazon	c3	Anomaly	1
5361	c2	Nova	c3	Black Beauty	2
5506	c2	Voodoo	c3	Nova	2
5635	c2	Carbon	c3	Voodoo	2
5968	c2	Vanity	c3	Half Pint	2
6131	c2	Infinity	c3	Roulette	1
6284	c2	Firecracker	c3	Shadow	1
6417	c2	Riveter	c3	Mirage	1

nYa9KIELR_E	2021-10-02	L	Tournament|Ringside Rumble|Top 8	
83	c3	Stiletto	c1	Harlem	2
178	c3	Tattoo	c1	Resin	1
298	c3	T-Back	c1	Shadow	2

THbiwqxUmTg	2021-10-02	L	Tournament|Ringside Rumble|Top 8	
164	c1	Amazon	c1	Temperance	2
346	c1	Colada	c1	Heroin	2
535	c1	Enigma	c1	Stiletto	1
683	c1	Wicked	c1	Lolita	1
898	c1	Mademoiselle	c1	Calypso	1

VxDv42SWoQU	2021-10-02	L	Tournament|Ringside Rumble|Top 8	
223	c1	Vanity	c3	Resin	1
370	c1	Banshee	c3	Widow	1
536	c1	Lotus	c3	Anomaly	2
724	c1	Harlem	c3	Heroin	1

YPgqw5qJfkc	2021-10-05	N	Tournament|SaltyEU	
1398	c1	Mirage	c3	Majesty	1
1589	c1	Widow	c3	Cascade	1
1860	c3	Minx	c3	Rogue	1
2057	c3	Geisha	c3	Enigma	1
2521	c3	Tequila	c2	Mannequin	2
2719	c3	Wicked	c2	Rogue	1
2829	c3	Black Beauty	c2	Cosma	2
3390	c1	Cascade	c2	Mirage	1
3999	c3	Vixen	c3	Nightmare	2
4099	c3	Nova	c3	Anomaly	2
4959	c1	Minx	c2	Lolita	1
5095	c1	Resin	c2	Heroin	1
5399	c1	Rogue	c3	Roulette	2
5555	c1	Mirage	c3	Vanity	2
5773	c3	Lotus	c1	Pumps	1
5938	c3	Calypso	c1	Colada	1
6127	c3	Roulette	c1	Beretta	1
6905	c3	Voodoo	c2	Malice	1
7054	c3	Raven	c2	Velvet	1
7400	c3	Raven	c1	Shadow	2
7584	c3	Half Pint	c1	Firecracker	1
7707	c3	Mannequin	c1	Temperance	2
8006	c1	Raven	c3	Minx	2
8680	c1	Tequila	c3	Ivy	1
9227	c1	Nightmare	c3	Widow	1
9659	c1	Cougar	c3	Insomnia	1
9809	c1	Tequila	c3	Siren	2
9984	c1	Enchantress	c3	Velvet	2
10157	c1	Amazon	c3	Cascade	2

DKUw2qGJuNc	2021-10-07	N	Team Spooky	
2	c2	Infinity	c2	Stiletto	2
195	c2	Enchantress	c2	Vanity	1
392	c2	Majesty	c2	Mirage	2
599	c2	Velvet	c2	Temperance	1
776	c2	Pumps	c2	Velvet	1

Fgj7r2oTCGY	2021-10-06	L	Tournament|AFKxp	
255	c2	Minx	c3	Enigma	1
362	c2	Velvet	c3	Cosma	1
635	c1	Stiletto	c2	Anomaly	1
788	c1	Infinity	c2	Rogue	2
870	c1	Infinity	c2	Stiletto	2
1063	c3	Vanity	c3	Wicked	2
1170	c3	Temperance	c3	Enigma	1
1402	c3	Calypso	c3	Pumps	1
1753	c3	Resin	c2	Nightmare	2
1849	c3	Amazon	c2	Legacy	2
2212	c1	Colada	c1	Raven	1
2319	c1	Pumps	c1	Roulette	1
2697	c2	Terror	c3	Lolita	1
2833	c2	Amazon	c3	Beretta	1
2937	c2	Ultra	c3	Lotus	1
3146	c2	T-Back	c1	Lithium	2
3264	c2	Shadow	c1	Velvet	2
3387	c2	Heroin	c1	Amazon	2
3580	c2	T-Back	c1	Vanity	2
3703	c2	Wicked	c1	Lolita	2
3887	c2	Enigma	c1	Femme Fatale	2
4104	c3	Lolita	c3	Mannequin	1
4220	c3	Firecracker	c3	Rogue	2
4372	c3	Roulette	c3	Amazon	1
4484	c3	Rogue	c3	Lotus	2
4559	c3	Cougar	c3	Enchantress	1
4904	c2	Belladonna	c3	Malice	1
5099	c2	Terror	c3	T-Back	2
5203	c2	Enchantress	c3	Goddess	2
5313	c2	Xenon	c3	Banshee	2
5581	c3	Cosma	c3	Beretta	2
5698	c3	Tattoo	c3	Anomaly	2
5807	c3	Terror	c3	Raven	1
6025	c3	Thunderbird	c3	Tattoo	2
6321	c2	Raven	c3	Half Pint	1
6455	c2	Riveter	c2	Cascade	1
6590	c2	Xenon	c3	Goddess	2
6721	c2	Nightmare	c3	Widow	2
6913	c2	Cascade	c3	Mannequin	1
7128	c2	Temperance	c1	Amazon	1
7250	c2	Ultra	c1	Countess	2
7350	c2	Legacy	c1	Roulette	2
7483	c2	Heroin	c1	Temperance	2

aXKcBD_o7YY	2021-10-04	N		
10	c2	Thunderbird	c2	Lolita	2
136	c2	Countess	c1	Nova	1
300	c1	Lotus	c2	Lolita	1
505	c2	Mademoiselle	c2	Voodoo	1

hMxfK51-tyg	2021-10-04	N		
12	c2	Resin	c3	Cascade	1
197	c1	Lithium	c2	Malice	2
391	c1	Heroin	c1	Velvet	1
587	c1	Anomaly	c2	Vixen	2
803	c2	Mirage	c2	Countess	1
992	c1	Vanity	c1	Minx	2

al8-2Uy1qVg	2021-10-06	N		
1006	c3	Anomaly	c2	Temperance	2
1109	c3	Banshee	c2	Malice	2
1736	c2	Beretta	c3	Enigma	1
1849	c2	Nova	c3	Legacy	1
2046	c2	Mannequin	c3	Geisha	1
2148	c2	Xenon	c3	Tequila	1
2327	c3	Malice	c2	Half Pint	2
2438	c3	Vixen	c2	Xenon	1
2625	c3	Vanity	c2	Enigma	2
2798	c2	Ivy	c3	Calypso	2
2973	c2	Tattoo	c3	Enchantress	1
3135	c2	Enigma	c3	Legacy	2
3387	c2	Terror	c3	Lithium	1
3560	c2	Insomnia	c3	Firecracker	1
3742	c3	Femme Fatale	c2	Enchantress	2
3830	c3	Amazon	c2	Lolita	2
4378	c2	Velvet	c3	Firecracker	1
4503	c2	Anomaly	c3	Calypso	1
4738	c2	Enigma	c3	Legacy	2
4957	c2	Vixen	c3	Ivy	1
6611	c2	Anomaly	c2	Mirage	1
6752	c2	Terror	c2	Stiletto	1
7074	c2	Xenon	c1	Temperance	2
7273	c2	T-Back	c1	Nova	1
7423	c2	Banshee	c1	Half Pint	1
9562	c2	Nova	c3	Calypso	1
9691	c2	Enchantress	c3	Rogue	1
9889	c2	Stiletto	c3	Goddess	1
10009	c2	Raven	c3	Terror	1

ZgjnQiE_Nic	2021-10-08	L	Tournament|Xanadu Games|Top 8	
1	c1	Calypso	c1	Temperance	1
105	c1	Rogue	c1	Malice	2
246	c1	Riveter	c1	Rogue	1
416	c1	Roulette	c1	Ultra	2
562	c1	Ivy	c1	Xenon	2

2ISpWldsqw4	2021-10-08	L	Tournament|Xanadu Games|Top 8	
0	c1	Nova	c1	Firecracker	2
187	c1	Ultra	c1	Lithium	1
360	c1	Enchantress	c1	Half Pint	1
543	c1	Roulette	c1	Tequila	2
724	c1	Carbon	c1	Wicked	1

tR1Bp2u2UHY	2021-10-08	L	Tournament|Xanadu Games|Top 8	
1	c2	Enigma	c1	Shadow	2
114	c2	Temperance	c1	Stiletto	2
198	c2	Colada	c1	Half Pint	2

Gxfy-syzCe4	2021-10-01	L	Tournament|PIKA Perth	
34	c2	Cosma	c1	Goddess	2
197	c2	Goddess	c1	Terror	1
312	c2	Temperance	c1	Minx	2
557	c2	Pumps	c2	Minx	2
687	c2	Stiletto	c2	Roulette	2
961	c3	Wicked	c1	Lithium	1
1046	c3	Harlem	c1	Belladonna	1
1316	c1	Tequila	c2	Cosma	1
1438	c1	Calypso	c2	Femme Fatale	1
1711	c3	Pumps	c1	Siren	2
1780	c3	Geisha	c1	Insomnia	2
1993	c1	Malice	c1	Carbon	1
2152	c1	Black Beauty	c1	Heroin	1
2563	c3	Harlem	c2	Mannequin	1
2718	c3	Cascade	c2	Nova	1
3003	c3	Rogue	c1	Cosma	2
3159	c3	Femme Fatale	c1	Infinity	1
3311	c3	Harlem	c1	Colada	2
3570	c3	Majesty	c3	Belladonna	1
3690	c3	Raven	c3	Lithium	2
3810	c3	Majesty	c3	Heroin	2
4044	c3	Lotus	c1	Siren	2
4195	c3	Tattoo	c1	Thunderbird	1
4344	c3	Temperance	c1	Enchantress	1
4984	c1	Legacy	c1	Temperance	2
5094	c1	Shadow	c1	Mannequin	1
5234	c1	Pumps	c1	Amazon	2

nt2CEYoaXyU	2021-10-06	N		
19	c2	Lolita	c2	Countess	1

Fu4KcSWAqHg	2021-10-10	N	Tournament|ZoneBreakers	
76	c2	Riveter	c3	Femme Fatale	2
190	c2	Pumps	c3	Vanity	2
517	c1	Xenon	c3	Mirage	1
723	c1	Siren	c3	Vixen	1
992	c1	Mannequin	c2	Lotus	1
1178	c1	Amazon	c2	Legacy	2
1355	c1	Legacy	c2	Vixen	2
1616	c3	Vixen	c2	Enigma	2
1735	c3	Mannequin	c2	Banshee	2
1990	c3	T-Back	c1	Anomaly	1
2191	c3	Black Beauty	c1	Half Pint	1
2394	c3	Ultra	c2	Thunderbird	2
2536	c3	Siren	c2	Harlem	2
2731	c3	Anomaly	c2	Malice	2
3342	c3	Beretta	c1	Voodoo	1
3549	c3	Mademoiselle	c1	Minx	2
3745	c3	Vanity	c1	Amazon	2
3938	c3	T-Back	c1	Ultra	1
4222	c3	Nightmare	c1	Mannequin	1
4399	c3	Terror	c1	Carbon	1
4653	c3	Lithium	c2	Velvet	2
4866	c3	Insomnia	c2	Half Pint	2
4997	c3	Lotus	c2	Ivy	2

GgBikK_T9OQ	2021-10-06	N		
19	c1	Ivy	c1	Vanity	1

vf-xyovlcTc	2021-10-06	N		
19	c1	Carbon	c1	Majesty	1

naUmSyp_YEE	2021-10-06	N		
19	c1	Enchantress	c2	Firecracker	1

t4wIsjwQzJc	2021-10-08	N	Tournament|Battle By The Bamboo|Top 8	
733	c3	Mannequin	c2	T-Back	2
967	c3	Femme Fatale	c2	Stiletto	2
1131	c3	Roulette	c2	Thunderbird	1
1328	c3	Majesty	c2	Enigma	2
1646	c2	Legacy	c2	Wicked	2
1809	c2	Majesty	c2	Roulette	2
2023	c2	Ivy	c2	Belladonna	2
2385	c3	Roulette	c1	T-Back	2
2529	c1	Lolita	c1	Tequila	2
2710	c1	Thunderbird	c1	Legacy	2
3059	c3	Lotus	c2	Calypso	2
3201	c3	Vixen	c2	Ultra	2
3375	c3	Anomaly	c2	Mannequin	2
3996	c2	Wicked	c1	Majesty	1
4283	c1	Minx	c2	Cosma	2
5038	c1	Vanity	c2	Velvet	1
5303	c1	Velvet	c2	Geisha	1
